"Timestamp","The rich should face heavier taxes to distribute wealth evenly.","The poor need more help than the rich.","America’s economic system is flawed.","Hard work separates the rich from the poor.","There is no lack of opportunity in America.","Too much government aid makes people lazy.","The government protects us.","Safety is a priority.","The people often make poor decisions.","The government often overreaches.","Freedom of speech is a priority.","The government should not be involved in our personal lives."
"2021/11/29 8:42:39 AM EST","3","5","5","4","3","5","3","5","5","5","4","5"
"2021/11/29 9:45:58 AM EST","3","5","4","5","5","5","5","5","5","5","5","2"
"2021/11/29 9:46:12 AM EST","4","5","4","5","1","3","5","5","4","5","4","2"
"2021/11/29 9:46:42 AM EST","4","4","5","2","2","5","3","5","2","4","4","5"
"2021/11/29 9:47:50 AM EST","3","4","2","5","1","5","4","4","3","4","3","5"
"2021/11/29 9:47:53 AM EST","3","4","5","4","4","5","5","3","5","3","5","3"
"2021/11/29 9:48:42 AM EST","1","1","1","1","2","1","3","5","3","1","2","2"
"2021/11/29 9:48:45 AM EST","3","4","3","4","5","5","5","3","4","3","5","4"
"2021/11/29 9:49:47 AM EST","4","4","4","1","2","3","1","5","4","3","5","3"
"2021/11/29 9:52:03 AM EST","4","3","4","2","1","2","1","5","2","4","3","4"
"2021/11/29 10:49:00 AM EST","1","5","3","4","3","5","3","5","5","5","5","5"
"2021/11/30 8:01:22 AM EST","5","4","3","2","3","4","2","4","3","4","4","5"
"2021/11/30 8:01:45 AM EST","4","3","3","4","4","3","3","4","2","3","5","4"
"2021/11/30 8:01:45 AM EST","5","4","4","4","3","2","3","4","4","3","5","3"
"2021/11/30 8:01:48 AM EST","1","5","4","5","4","4","3","5","3","2","4","4"
"2021/11/30 8:02:03 AM EST","4","4","4","1","2","4","4","5","3","3","4","1"
"2021/11/30 8:02:27 AM EST","3","2","3","5","2","4","3","5","5","3","5","4"
"2021/11/30 8:02:38 AM EST","4","5","4","1","3","3","4","5","4","3","5","3"
"2021/11/30 8:02:58 AM EST","4","3","2","3","4","5","3","2","5","4","4","4"
"2021/11/30 8:03:43 AM EST","5","5","5","1","1","1","3","5","3","4","5","4"
"2021/11/30 8:04:00 AM EST","3","3","5","3","3","5","4","4","4","5","3","3"
"2021/11/30 8:04:02 AM EST","2","4","1","2","4","2","4","5","3","1","5","3"
"2021/11/30 8:04:15 AM EST","5","5","1","5","4","3","4","5","2","5","5","5"
"2021/11/30 8:05:29 AM EST","1","4","3","3","3","5","1","2","3","3","5","5"
"2021/11/30 8:59:34 AM EST","3","4","3","3","2","5","2","4","5","4","5","5"
"2021/11/30 8:59:49 AM EST","5","5","4","1","2","1","4","4","3","2","5","2"
"2021/11/30 9:00:32 AM EST","3","4","4","1","2","4","4","5","4","4","5","4"
"2021/11/30 9:00:59 AM EST","4","4","5","1","1","1","3","3","3","4","4","3"
"2021/11/30 9:03:53 AM EST","4","4","5","5","2","3","2","5","5","3","4","4"
"2021/11/30 9:33:23 AM EST","3","5","3","4","4","3","2","5","3","4","5","5"
"2021/11/30 9:33:30 AM EST","4","4","3","3","3","4","2","4","1","2","5","4"
"2021/11/30 9:33:49 AM EST","3","3","2","4","4","5","3","3","4","3","4","2"
"2021/11/30 9:35:15 AM EST","1","5","1","5","5","5","1","1","5","1","5","5"
"2021/11/30 9:35:30 AM EST","2","3","5","5","3","5","2","5","5","3","5","5"
"2021/11/30 10:21:13 AM EST","5","5","5","4","1","1","2","3","2","2","3","3"
"2021/11/30 12:10:15 PM EST","5","4","3","4","3","3","3","4","3","3","4","4"
"2021/11/30 12:10:24 PM EST","3","3","4","2","3","3","2","2","4","3","2","3"
"2021/11/30 12:10:41 PM EST","3","3","3","3","5","4","3","5","3","3","5","4"
"2021/11/30 12:11:41 PM EST","4","4","5","2","1","2","2","5","5","3","4","3"
"2021/11/30 12:45:13 PM EST","3","3","2","4","2","4","4","4","3","3","3","3"
"2021/11/30 1:08:08 PM EST","4","4","2","5","5","5","3","5","3","4","5","3"
"2021/11/30 1:59:37 PM EST","5","5","5","3","2","2","2","5","1","3","3","5"
"2021/11/30 3:06:46 PM EST","5","5","3","1","1","3","3","4","3","3","5","2"
"2021/11/30 4:50:42 PM EST","4","4","3","3","3","3","3","4","4","3","4","2"
"2021/11/30 8:10:01 PM EST","4","4","5","1","2","3","2","5","3","5","5","5"
"2021/11/30 10:18:59 PM EST","1","4","1","5","5","5","4","3","2","2","4","4"
"2021/12/01 8:00:25 AM EST","5","5","5","1","2","1","4","3","2","2","3","1"
"2021/12/01 8:01:00 AM EST","3","3","3","3","3","4","3","3","4","4","4","3"
"2021/12/01 8:03:31 AM EST","5","5","5","1","1","1","2","2","3","3","5","3"
"2021/12/01 8:03:57 AM EST","1","5","1","2","4","4","5","5","3","3","5","3"
"2021/12/01 8:03:59 AM EST","4","4","4","3","2","3","4","5","3","4","5","3"
"2021/12/01 8:04:05 AM EST","4","3","3","1","1","2","3","5","3","4","5","4"
"2021/12/01 8:04:08 AM EST","4","5","5","3","5","3","4","5","5","3","3","3"
"2021/12/01 8:04:10 AM EST","5","4","4","2","3","2","4","4","3","2","5","4"
"2021/12/01 8:04:10 AM EST","1","2","3","3","4","4","2","4","4","3","2","4"
"2021/12/01 8:04:39 AM EST","5","5","5","1","1","2","3","5","3","3","5","4"
"2021/12/01 8:04:40 AM EST","5","5","4","1","2","2","2","5","4","2","5","2"
"2021/12/01 8:05:15 AM EST","4","4","4","1","2","3","2","5","3","3","5","5"
